en_name	sci_name	pl_name	notes
Redhead	Aythya americana	głowienka preriowa	Rare/Accidental
Common Pochard	Aythya ferina	głowienka	Vulnerable
Ring-necked Duck	Aythya collaris	czerniczka	Rare/Accidental
Ferruginous Duck	Aythya nyroca	podgorzałka	Near-threatened
Tufted Duck	Aythya fuligula	czernica	
Greater Scaup	Aythya marila	ogorzałka	
Lesser Scaup	Aythya affinis	ogorzałka mała	Rare/Accidental
Steller's Eider	Polysticta stelleri	birginiak	Vulnerable
Spectacled Eider	Somateria fischeri	edredon okularowy	Rare/Accidental Near-threatened
King Eider	Somateria spectabilis	turkan	
Common Eider	Somateria mollissima	edredon	Near-threatened
Harlequin Duck	Histrionicus histrionicus	kamieniuszka	
Surf Scoter	Melanitta perspicillata	uhla pstrodzioba	Rare/Accidental
Velvet Scoter	Melanitta fusca	uhla	Vulnerable
White-winged Scoter	Melanitta deglandi	uhla garbonosa	
Stejneger's Scoter	Melanitta stejnegeri	uhla azjatycka	
Common Scoter	Melanitta nigra	markaczka	
Black Scoter	Melanitta americana	markaczka amerykańska	Near-threatened
Long-tailed Duck	Clangula hyemalis	lodówka	Vulnerable
Bufflehead	Bucephala albeola	gągołek	Rare/Accidental
Common Goldeneye	Bucephala clangula	gągoł	
Barrow's Goldeneye	Bucephala islandica	sierpiec	
Smew	Mergellus albellus	bielaczek	
Hooded Merganser	Lophodytes cucullatus	kapturnik	Rare/Accidental
Common Merganser	Mergus merganser	nurogęś	
Red-breasted Merganser	Mergus serrator	szlachar	
Ruddy Duck	Oxyura jamaicensis	sterniczka jamajska	
White-headed Duck	Oxyura leucocephala	sterniczka	Endangered
Helmeted Guineafowl	Numida meleagris	perlica (zwyczajna)	Introduced species
Northern Bobwhite	Colinus virginianus	przepiór wirginijski	Introduced species Near-threatened
California Quail	Callipepla californica	przepiór kalifornijski	Introduced species
Hazel Grouse	Tetrastes bonasia	jarząbek	
Willow Ptarmigan	Lagopus lagopus	pardwa mszarna	
Rock Ptarmigan	Lagopus muta	pardwa górska	
Western Capercaillie	Tetrao urogallus	głuszec	
Black Grouse	Lyrurus tetrix	cietrzew	
Caucasian Grouse	Lyrurus mlokosiewiczi	cietrzew kaukaski	Near-threatened
Gray Partridge	Perdix perdix	kuropatwa	
Reeves's Pheasant	Syrmaticus reevesii	bażant królewski	Introduced species Vulnerable
Golden Pheasant	Chrysolophus pictus	bażant złocisty	Introduced species
Lady Amherst's Pheasant	Chrysolophus amherstiae	bażant diamentowy	Introduced species
Ring-necked Pheasant	Phasianus colchicus	bażant (zwyczajny)	Introduced species
Black Francolin	Francolinus francolinus	frankolin obrożny	Extirpated
Caucasian Snowcock	Tetraogallus caucasicus	ułar kaukaski	
Common Quail	Coturnix coturnix	przepiórka	
Barbary Partridge	Alectoris barbara	góropatwa berberyjska	
Red-legged Partridge	Alectoris rufa	góropatwa czerwona	Near-threatened
Chukar	Alectoris chukar	góropatwa azjatycka	
Rock Partridge	Alectoris graeca	góropatwa skalna	Near-threatened
Rock Pigeon	Columba livia	gołąb skalny	
Stock Dove	Columba oenas	siniak	
Common Wood-Pigeon	Columba palumbus	grzywacz	
Trocaz Pigeon	Columba trocaz	gołąb maderski	
Bolle's Pigeon	Columba bollii	gołąb kanaryjski	
Laurel Pigeon	Columba junoniae	gołąb laurowy	Near-threatened
Passenger Pigeon	Ectopistes migratorius	gołąb wędrowny	Extinct
European Turtle-Dove	Streptopelia turtur	turkawka	Vulnerable
Oriental Turtle-Dove	Streptopelia orientalis	turkawka wschodnia	Rare/Accidental
Eurasian Collared-Dove	Streptopelia decaocto	sierpówka (zwyczajna)	
African Collared-Dove	Streptopelia roseogrisea	cukrówka	Introduced species
Laughing Dove	Spilopelia senegalensis	synogarlica senegalska	
Namaqua Dove	Oena capensis	turkaweczka czarnogardła	Rare/Accidental
Zenaida Dove	Zenaida aurita	gołębiak cynamonowy	Rare/Accidental
Mourning Dove	Zenaida macroura	gołębiak długosterny	Rare/Accidental
Pallas's Sandgrouse	Syrrhaptes paradoxus	pustynnik	Rare/Accidental
Pin-tailed Sandgrouse	Pterocles alchata	stepówka białobrzucha	
Spotted Sandgrouse	Pterocles senegallus	stepówka rudogardła	Uncertain origin
Black-bellied Sandgrouse	Pterocles orientalis	stepówka czarnobrzucha	
Great Bustard	Otis tarda	drop	Endangered
African Houbara	Chlamydotis undulata	hubara saharyjska	Rare/Accidental Vulnerable
Asian Houbara	Chlamydotis macqueenii	hubara arabska	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	strepet	Near-threatened
Great Spotted Cuckoo	Clamator glandarius	kukułka czubata	
Yellow-billed Cuckoo	Coccyzus americanus	kukawik żółtodzioby	Rare/Accidental
Black-billed Cuckoo	Coccyzus erythropthalmus	kukawik czarnodzioby	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	kukułka amurska	Rare/Accidental
Himalayan Cuckoo	Cuculus saturatus	kukułka wschodnia	Rare/Accidental
Common Cuckoo	Cuculus canorus	kukułka	
Oriental Cuckoo	Cuculus optatus	kukułka syberyjska	Rare/Accidental
Common Nighthawk	Chordeiles minor	lelczyk mały	Rare/Accidental
Red-necked Nightjar	Caprimulgus ruficollis	lelek rdzawoszyi	Near-threatened
Eurasian Nightjar	Caprimulgus europaeus	lelek	
Egyptian Nightjar	Caprimulgus aegyptius	lelek egipski	Rare/Accidental
Sabine's Spinetail	Rhaphidura sabini	kolcosternik białobrzuchy	Uncertain origin
Chimney Swift	Chaetura pelagica	kominiarczyk amerykański	Rare/Accidental Vulnerable
White-throated Needletail	Hirundapus caudacutus	igłosternik białogardły	Rare/Accidental
Alpine Swift	Tachymarptis melba	jerzyk alpejski	
Common Swift	Apus apus	jerzyk	
Plain Swift	Apus unicolor	jerzyk jednobarwny	
Pallid Swift	Apus pallidus	jerzyk blady	
Pacific Swift	Apus pacificus	jerzyk białorzytny	Rare/Accidental
Little Swift	Apus affinis	jerzyk mały	
Horus Swift	Apus horus	jerzyk białogardły	Rare/Accidental
White-rumped Swift	Apus caffer	jerzyk widłosterny	
Virginia Rail	Rallus limicola	wodnik błotny	Rare/Accidental
Water Rail	Rallus aquaticus	wodnik	
Corn Crake	Crex crex	derkacz	
